id,name,location
1,cafe 502,진주시 가좌동1932-8
2,더벤티 경상대점,경상남도 진주시 가좌길 18-1 (가좌동)
3,로스터리카페 뜰,경상남도 진주시 강변길20번길 22(가좌동)
4,망고식스가좌점,"경상남도 진주시 가호로 8, 2층 (가좌동)"
5,블루리본컵케익(BLue RibBon CuPcAkEs),경상남도 진주시 진주대로500번길 10-11 (가좌동)
6,에나주스,"진주시 가좌길 29번길 3, 1층 102호"
7,존재와당위,경상남도 진주시 강변길9번길 5(호탄동)
8,카페너머,"경상남도 진주시 가좌길 40, 2층 (가좌동)"
9,카페별화실,"경상남도 진주시 가좌길 78번길 1, 1층 (가좌동)"
10,카페이비뎀,경상남도 진주시 가좌안골길24번길 12(가좌동)
11,키키,"경상남도 진주시 가좌길 13, 1층(가좌동)"
12,투썸플레이스,진주시 진주대로504(가좌동)
13,허니커피,경상남도 진주시 강변길10번길 11-1(호탄동)
14,음료충전소,경상남도 진주시 금곡면 월아산로 620
15,노네집,"경상남도 진주시 금산면 금산순환로89번길 31, 1층"
16,빌리브라운금산점,"경상남도 진주시 금산면 중천로 80, 102호"
17,빽다방진주금산점,"진주시 금산면 중천로 80, 1층 102호(진주금산청솔빌딩)"
18,옐로우 나인,경상남도 진주시 금산면 금산로 144
19,카페금산,"진주시 금산면 금산순환로 12번길 25, 1층"
20,카페디어제이,"진주시 금산순환로12번길10-2,1층일부"
21,커피아뜰리에,경상남도 진주시 금산면 금산로90번길 1
22,카페우수리,경상남도 진주시 명석면 판문로 474
23,메가커피진주문산점,경상남도 진주시 문산읍 월아산로 1075
24,북카페,"경상남도 진주시 문산읍 동부로588번길 20, 지하1층 (학생안전체험교육원)"
25,서하접,경상남도 진주시 문산읍 동부로 819-73
26,유등의 꿈,경상남도 진주시 문산읍 월아산로800번길 4-1
27,커피뱅크,"경상남도 진주시 문산읍 동부로 591번길 5-1, 1층"
28,181플레이스(181Place),"진주시 모덕로181,1층일부(상대동)"
29,까로치아진주시청점,"진주시 솔밭로135,1층"
30,더담,경상남도 진주시 동진로 195(상대동)
31,메가엠지씨커피 진주시청점,경상남도 진주시 동진로 177(상대동)
32,반반스프링스커피,"진주시 동진로172(상대동,1,2층일부)"
33,앙트르메,"경상남도 진주시 돗골로 119, 1층(상대동)"
34,오늘의 당신은,"경상남도 진주시 동진로167번길 15-8 가제102호 (상대동, 새상가)"
35,카멜커피,"경상남도 진주시 돗골로 154, 1층 일부 (상대동)"
36,카페시청각,"경상남도 진주시 동진로 155, 2층(상대동)"
37,토스피아,경상남도 진주시 도동천로 35(상대동)
38,히든커피바,"경상남도 진주시 솔밭로132번길 33, 1층(상대동)"
39,너와 함께라면,경상남도 진주시 진주성로 106 (상봉동)
40,천씨씨커피보건대점,진주시 창렬로98번길1
41,티파니에서 커피를,경상남도 진주시 의병로 79(상봉동)
42,포로롱,"진주시 창렬로87,1층일부(상봉동)"
43,솔밭 거닐다,"경상남도 진주시 솔밭로75번길 22, 101호(상평동)"
44,알유티씨 카페,경상남도 진주시 공단로20번길 4(상평동)
45,쿠키레이디,"경상남도 진주시 공단로 43번길 22, 1층 (상평동)"
46,허니커피,경상남도 진주시 솔밭로 93-1(상평동)
47,1/2커피숍,"경상남도 진주시 비봉로 14-1, 2층 (본성동)"
48,나라주스,"경상남도 진주시 비봉로 23번길 5, 1층일부 (중안동)"
49,더웨이닝 커피 진주 로데오점,진주시 비봉로 24번길 8-1
50,동림관정다례원,경상남도 진주시 남강로651번길 5-4(본성동)
